Time:5/29/2020 11:08:00 AM	Open:301.0200	Close:301.0300	Volume:129216
Time:5/29/2020 11:07:00 AM	Open:300.8800	Close:301.0300	Volume:365802
Time:5/29/2020 11:06:00 AM	Open:300.7000	Close:300.8900	Volume:131799
Time:5/29/2020 11:05:00 AM	Open:300.5600	Close:300.7000	Volume:205523
Time:5/29/2020 11:04:00 AM	Open:300.5600	Close:300.6200	Volume:430162
Time:5/29/2020 11:03:00 AM	Open:300.9500	Close:301.0700	Volume:106219
Time:5/29/2020 11:02:00 AM	Open:301.2500	Close:300.9600	Volume:120595
Time:5/29/2020 11:01:00 AM	Open:301.0200	Close:301.2400	Volume:183757
Time:5/29/2020 11:00:00 AM	Open:301.1100	Close:301.0300	Volume:491598
Time:5/29/2020 10:59:00 AM	Open:301.2050	Close:301.1200	Volume:71379
Time:5/29/2020 10:58:00 AM	Open:300.9500	Close:301.2050	Volume:228588
Time:5/29/2020 10:57:00 AM	Open:300.7300	Close:300.9600	Volume:228732
Time:5/29/2020 10:56:00 AM	Open:300.7400	Close:300.7301	Volume:107611
Time:5/29/2020 10:55:00 AM	Open:300.8350	Close:300.7300	Volume:166708
Time:5/29/2020 10:54:00 AM	Open:300.7500	Close:300.8200	Volume:261632
Time:5/29/2020 10:53:00 AM	Open:301.0500	Close:300.7300	Volume:132135
Time:5/29/2020 10:52:00 AM	Open:301.0623	Close:301.0500	Volume:124515
Time:5/29/2020 10:51:00 AM	Open:300.9750	Close:301.0700	Volume:168721
Time:5/29/2020 10:50:00 AM	Open:300.9450	Close:300.9750	Volume:229823
Time:5/29/2020 10:49:00 AM	Open:301.2000	Close:300.9700	Volume:154416
Time:5/29/2020 10:48:00 AM	Open:301.1900	Close:301.2100	Volume:116106
Time:5/29/2020 10:47:00 AM	Open:301.2650	Close:301.2000	Volume:53310
Time:5/29/2020 10:46:00 AM	Open:301.3200	Close:301.2900	Volume:104245
Time:5/29/2020 10:45:00 AM	Open:301.2100	Close:301.3200	Volume:178152
Time:5/29/2020 10:44:00 AM	Open:301.2700	Close:301.2060	Volume:156857
Time:5/29/2020 10:43:00 AM	Open:301.4800	Close:301.2700	Volume:608987
Time:5/29/2020 10:42:00 AM	Open:301.5400	Close:301.4900	Volume:108496
